s_ID,name,language,genre
SO163,Verjamem,Slovene,Ballad
SO164,Nebo,Croatian,Ballad
SO165,I'm a Joker,"English, Georgian",Pop
SO166,Don't Close Your Eyes,English,Rock
SO167,Only Teardrops,English,Pop
SO168,Hold Me,English,Ballad
SO169,Gravity,English,Pop
SO170,I Feed You My Love,English,Dance
SO171,What If,English,Ballad
SO172,Alcohol Is Free,Greek1,Traditional
SO173,L'essenziale,Italian,Ballad
SO174,Tomorrow,English,Pop
SO175,Birds,English,Ballad
SO176,Kedvesem (Zoohacker Remix),Hungarian,Pop
SO177,O mie,Romanian,Ballad
SO178,Love Kills,English,Pop
SO179,It's My Life,English,Dance
SO180,You,English,Dance
SO181,Waterfall,English,Ballad
SO182,Solayoh,English,Dance
SO183,Eg a lif,Icelandic,Traditional
SO184,Lonely Planet,English,Rock
SO185,Believe in Me,English,Rock
SO186,Et uus saaks alguse,Estonian,Ballad
SO187,Glorious,English,Dance
SO188,Something,English,Dance
SO189,L'enfer et moi,French,Rock
SO190,Marry Me,English,Pop
SO191,Contigo hasta el final,Spanish,Rock
SO192,Only Love Survives,English,Pop
SO193,Shine,English,Pop
SO194,Straight Into Love,English,Dance
SO195,Mizerja,Croatian,Traditional
SO196,Igranka,Montenegrin,Dance
SO197,An me thimasai,Greek,Ballad
SO198,Ljubav je svuda,Serbian,Dance
SO199,Here We Go,English,Dance
SO200,Crisalide (Vola),Italian,Ballad
SO201,Pred da se razdeni,"Macedonian, Romani",Traditional
SO202,Samo shampioni,Bulgarian,Traditional
SO203,Rak Bishvilo,Hebrew,Ballad
SO204,Identitet,Albanian,Rock
SO205,You and Me,English,Pop
SO206,Rise Like a Phoenix,English,Ballad
SO207,Calm After the Storm,English,Traditional
SO208,Undo,English,Ballad
SO209,Not Alone,English,Ballad
SO210,Running,English,Pop
SO211,Tick-Tock,English,Pop
SO212,Shine,English,Pop
SO213,Silent Storm,English,Ballad
SO214,Cliche Love Song,English,Pop
SO215,Dancing in the Rain,"English, Spanish",Ballad
SO216,Something Better,English,Rock
SO217,Miracle,English,Dance
SO218,Hunter of Stars,English,Pop
SO219,My Slowianie – We Are Slavic,"Polish, English",Traditional
SO220,No Prejudice,English,Rock
SO221,Cheesecake,English,Pop
SO222,Children of the Universe,English,Pop
SO223,Is It Right,English,Traditional
SO224,Moj svijet,Montenegrin,Ballad
SO225,Rise Up,English,Dance
SO226,La mia citta,Italian,Rock
SO227,Start a Fire,English,Ballad
SO228,Coming Home,English,Traditional
SO229,Maybe,English,Ballad
SO230,Round and Round,"English, Slovene",Pop
SO231,Moustache,French,Dance
SO232,Cake to Bake,English,Pop
SO233,Amazing,English,Dance
SO234,One Night's Anger,English,Ballad
SO235,Mother,English,Ballad
SO236,Wild Soul,English,Ballad
SO237,Quero ser tua,Portuguese,Pop
SO238,Same Heart,"English, Hebrew",Pop
SO239,Three Minutes to Earth,English,Traditional
SO240,Attention,English,Pop
SO241,Heartbeat,English,Pop
SO242,To the Sky,English,Pop
SO243,Heroes,English,Pop
SO244,A Million Voices,English,Pop
SO245,Grande amore,Italian,Ballad
SO246,Rhythm Inside,English,Pop
SO247,Love Injected,English,Pop
SO248,Goodbye to Yesterday,English,Pop
SO249,A Monster Like Me,English,Ballad
SO250,Golden Boy,English,Pop
SO251,Beauty Never Lies,English,Pop
SO252,Warrior,English,Pop
SO253,Hour of the Wolf,English,Ballad
SO254,Adio,Montenegrin,Traditional
SO255,Here for You,English,Pop
SO256,De la capat,"Romanian, English",Pop
SO257,Face the Shadow,English,Pop
SO258,I'm Alive,English,Pop
SO259,This Time,English,Pop
SO260,One Last Breath,English,Ballad
SO261,Wars for Nothing,English,Pop
SO262,Amanecer,Spanish,Ballad
SO263,One Thing I Should Have Done,English,Ballad
SO264,In the Name of Love,English,Ballad
SO265,Still in Love with You,English,Pop
SO266,N'oubliez pas,French,Ballad
SO267,I Am Yours,English,Ballad
SO268,Black Smoke,English,Pop
SO269,I Want Your Love,English,Pop
SO270,Walk Along,English,Pop
SO271,Aina mun pitaa,Finnish,Rock
SO272,Autumn Leaves,English,Pop
SO273,Time,English,Pop
SO274,The Way You Are,English,Pop
SO275,Playing with Numbers,English,Ballad
SO276,Chain of Lights,English,Pop
SO277,Warrior,English,Ballad
SO278,Ha um mar que nos separa,Portuguese,Ballad
SO279,Hope Never Dies,English,Ballad
SO280,Unbroken,English,Pop
SO281,Time to Shine,English,Pop
SO282,Tonight Again,English,Dance
SO283,1944,"English, Crimean Tatar",Pop
SO284,Sound of Silence,English,Pop
SO285,You Are the Only One,English,Pop
SO286,If Love Was a Crime,"English, Bulgarian",Dance
SO287,If I Were Sorry,English,Pop
SO288,J'ai cherche,"French, English",Pop
SO289,LoveWave,English,Pop
SO290,Color of Your Life,English,Pop
SO291,I've Been Waiting for This Night,English,Ballad
SO292,What's the Pressure,English,Pop
SO293,Slow Down,English,Pop
SO294,Walk on Water,English,Pop
SO295,Loin d'ici,French,Pop
SO296,Made of Stars,English,Ballad
SO297,Heartbeat,English,Pop
SO298,No Degree of Separation,"Italian, English",Pop
SO299,Miracle,English,Pop
SO300,Goodbye (Shelter),English,Pop
SO301,Pioneer,English,Pop
SO302,Midnight Gold,English,Rock
SO303,Alter Ego,English,Rock
SO304,Say Yay!,English,Pop
SO305,Lighthouse,English,Pop
SO306,You're Not Alone,English,Pop
SO307,I Stand,English,Pop
SO308,Ghost,English,Pop
SO309,Sing It Away,English,Pop
SO310,Utopian Land,"English, Greek3",Pop
SO311,Falling Stars,English,Pop
SO312,I Didn't Know,English,Pop
SO313,Play,English,Pop
SO314,The Real Thing,English,Pop
SO315,Hear Them Calling,English,Pop
SO316,Ljubav je,Bosnian,Pop
SO317,The Last of Our Kind,English,Pop
SO318,Help You Fly,English,Pop
SO319,Sunlight,English,Pop
SO320,Dona,Macedonian,Ballad
SO321,Blue and Red,English,Pop
SO322,Soldiers of Love,English,Pop
SO323,Icebreaker,English,Dance
SO324,Fairytale,English,Pop
SO325,Amar pelos dois,Portuguese,Ballad
SO326,Beautiful Mess,English,Pop
SO327,"Hey, Mamma!",English,Dance
SO328,City Lights,English,Pop
SO329,I Can't Go On,English,Pop
SO330,Occidentali's Karma,Italian,Pop
SO331,Yodel It!,English,Pop
SO332,Origo,Hungarian,Traditional
SO333,Don't Come Easy,English,Pop
SO334,Grab the Moment,English,Pop
SO335,Lights and Shadows,English,Pop
SO336,Requiem,"French, English",Pop
SO337,My Friend,"English, Italian",Opera
SO338,Skeletons,English,Pop
SO339,Never Give Up on You,English,Ballad
SO340,Running on Air,English,Pop
SO341,Story of My Life,Belarusian,Pop
SO342,Fly with Me,English,Pop
