p_ID,song_name,country,artist,p_year,overall_place,performance_vid
PER73,Siren,Estonia,Malcolm Lincoln,2010,31,https://youtube.com/watch?v=yFbVAQjESzE
PER74,Jas Ja Imam Silata,North Macedonia,Gjoko Taneski,2010,32,https://youtube.com/watch?v=3sYNmPkivyU
PER75,Lako Je Sve,Croatia,Feminnem,2010,33,https://youtube.com/watch?v=x2M9zNayOF0
PER76,Ik Ben Verliefd (Sha-la-lie),Netherlands,Sieneke,2010,34,https://youtube.com/watch?v=HdA2SsM3BLI
PER77,Horehronie,Slovakia,Kristina Pelakova,2010,35,https://youtube.com/watch?v=j8G6byTMr0o
PER78,Angel Si Ti,Bulgaria,Miro,2010,36,https://youtube.com/watch?v=YTyTL04vlEw
PER79,What For?,Latvia,Aisha,2010,37,https://youtube.com/watch?v=oRjtqVkj5w0
PER80,Narodnozabavni Rock,Slovenia,Ansambel a½lindra & Kalamari,2010,38,https://youtube.com/watch?v=2faHkE1JZwc
PER81,Il Pleut de L'Or,Switzerland,Michael von der Heide,2010,39,https://youtube.com/watch?v=qW2UPf1_Lcg
PER82,Running Scared,Azerbaijan,Ell/Nikki,2011,1,https://youtube.com/watch?v=_0tlQUW5X0U
PER83,Madness Of Love,Italy,Raphael Gualazzi,2011,2,https://youtube.com/watch?v=TE0uNLp3LuU
PER84,Popular,Sweden,Eric Saade,2011,3,https://youtube.com/watch?v=-04pUETT7oI
PER85,Angel,Ukraine,Mika Newton,2011,4,https://youtube.com/watch?v=g_xRmEkR6KE
PER86,New Tomorrow,Denmark,A Friend In London,2011,5,https://youtube.com/watch?v=YDXeK0r3aKs
PER87,Love In Rewind,Bosnia and Herzegovina,Dino Merlin,2011,6,https://youtube.com/watch?v=mBg3coarF_8
PER88,Watch My Dance,Greece,Loucas Yiorkas feat. Stereo Mike,2011,7,https://youtube.com/watch?v=FdZzklXoAOg
PER89,Lipstick,Republic of Ireland,Jedward,2011,8,https://youtube.com/watch?v=XgrlG6hQbNM
PER90,One More Day,Georgia,Eldrine,2011,9,https://youtube.com/watch?v=CfJVlssy0cc
PER91,Taken By A Stranger,Germany,Lena,2011,10,https://youtube.com/watch?v=KqZprvpWlcE
PER92,I Can,United Kingdom,Blue,2011,11,https://youtube.com/watch?v=y1dXMWWq6y8
PER93,So Lucky,Moldova,Zdob È™i Zdub,2011,12,https://youtube.com/watch?v=nHAY_OVN_gY
PER94,No One,Slovenia,Maja Keuc,2011,13,https://youtube.com/watch?v=NNP3nfvoqps
PER95,aŒaroban,Serbia,Nina,2011,14,https://youtube.com/watch?v=-CWvXKxjCs8
PER96,Sognu,France,Amaury Vassili,2011,15,https://youtube.com/watch?v=OTiBNPT-x_Y
PER97,Get You,Russia,Alexej Vorobjov,2011,16,https://youtube.com/watch?v=C-3ohaRN3MM
PER98,Change,Romania,Hotel FM,2011,17,https://youtube.com/watch?v=2a1Q_hpGLbs
PER99,The Secret Is Love,Austria,Nadine Beiler,2011,18,https://youtube.com/watch?v=UsBC5AB1tFo
PER100,C'est Ma Vie,Lithuania,Evelina Saaenko,2011,19,https://youtube.com/watch?v=S3_aSVE4t3M
PER101,Coming Home,Iceland,Sjonni's Friends,2011,20,https://youtube.com/watch?v=apc_qJf3nws
PER102,Da Da Dam,Finland,Paradise Oskar,2011,21,https://youtube.com/watch?v=1Fj9of4IzFU
PER103,What About My Dreams?,Hungary,Kati Wolf,2011,22,https://youtube.com/watch?v=IuGUz1ExflY
PER104,Que Me Quiten Lo Bailao,Spain,Luca­a Parez,2011,23,https://youtube.com/watch?v=91bKjEojSDU
PER105,Rockefeller Street,Estonia,Getter Jaani,2011,24,https://youtube.com/watch?v=UxvmdR7oYdQ
PER106,In Love For A While,Switzerland,Anna Rossinelli,2011,25,https://youtube.com/watch?v=wxLE5FmNJow
PER107,One Life,Malta,Glen Vella,2011,26,https://youtube.com/watch?v=U9YRL_pHxvU
PER108,Boom Boom,Armenia,Emmy,2011,27,https://youtube.com/watch?v=zqJD7fPSWAc
PER109,With Love Baby,Belgium,Witloof Bay,2011,28,https://youtube.com/watch?v=nTLAzDVu80E
PER110,Live It Up,Turkey,Ya¼ksek Sadakat,2011,29,https://youtube.com/watch?v=RgqKYI6myHM
PER111,Feel The Passion,Albania,Aurela Gaae,2011,30,https://youtube.com/watch?v=Mq0H6gY2jq4
PER112,Na Inat,Bulgaria,Poli Genova,2011,31,https://youtube.com/watch?v=NuenJb-vw9A
PER113,I'm Still Alive,Slovakia,TWiiNS,2011,32,https://youtube.com/watch?v=6OUulUX7_hE
PER114,I Love Belarus,Belarus,Anastasiya Vinnikova,2011,33,https://youtube.com/watch?v=frhQMuyH0lg
PER115,Celebrate,Croatia,Daria,2011,34,https://youtube.com/watch?v=wTJzolnObu0
PER116,Ding Dong,Israel,Dana International,2011,35,https://youtube.com/watch?v=bWVuuvqEArE
PER117,Rusinka,North Macedonia,Vlatko Ilievski,2011,36,https://youtube.com/watch?v=JrCOhclzLbE
PER118,Stand By,San Marino,Senit,2011,37,https://youtube.com/watch?v=TTCBm8Z2CrY
PER119,Haba Haba,Norway,Stella Mwangi,2011,38,https://youtube.com/watch?v=cRhJzdDFFHA
PER120,Angel In Disguise,Latvia,Musiqq,2011,39,https://youtube.com/watch?v=qBTMLCloxBw
PER121,Luta a‰ Alegria,Portugal,Homens Da Luta,2011,40,https://youtube.com/watch?v=bEPCC3_COLs
PER122,Jestem,Poland,Magdalena Tul,2011,41,https://youtube.com/watch?v=6u4uznE0GxI
PER123,San Aggelos S'agapisa,Cyprus,Christos Mylordos,2011,42,https://youtube.com/watch?v=1t0czUf9nJU
PER124,Never Alone,Netherlands,3JS,2011,43,https://youtube.com/watch?v=oJ6T43D82KY
PER125,Euphoria,Sweden,Loreen,2012,1,https://youtube.com/watch?v=Pfo-8z86x80
PER126,Party For Everybody,Russia,Buranovskiye Babushki,2012,2,https://youtube.com/watch?v=BgUstrmJzyc
PER127,Nije Ljubav Stvar,Serbia,a½eljko Joksimoviat,2012,3,https://youtube.com/watch?v=R9x9VbJzaDQ
PER128,When The Music Dies,Azerbaijan,Sabina Babayeva,2012,4,https://youtube.com/watch?v=yzT7O3Fnwpk
PER129,Suus,Albania,Rona Nishliu,2012,5,https://youtube.com/watch?v=QeBL2UHhyEc
PER130,Kuula,Estonia,Ott Lepland,2012,6,https://youtube.com/watch?v=T7BaTBe0UD8
PER131,Love Me Back,Turkey,Can Bonomo,2012,7,https://youtube.com/watch?v=3Qa7_y21oOY
PER132,Standing Still,Germany,Roman Lob,2012,8,https://youtube.com/watch?v=cScJPH20P3A
PER133,L'Amore aˆ Femmina (Out Of Love),Italy,Nina Zilli,2012,9,https://youtube.com/watch?v=v0kGpDEvtbQ
PER134,Quadate Conmigo,Spain,Pastora Soler,2012,10,https://youtube.com/watch?v=U8J1b62wOao
PER135,Laƒutar,Moldova,Pasha Parfeny,2012,11,https://youtube.com/watch?v=vIy0EtEeLEw
PER136,Zaleilah,Romania,Mandinga,2012,12,https://youtube.com/watch?v=K3ruy639kTQ
PER137,Crno I Belo,North Macedonia,Kaliopi,2012,13,https://youtube.com/watch?v=MSuCdNEy9w0
PER138,Love Is Blind,Lithuania,Donny Montell,2012,14,https://youtube.com/watch?v=x2vNoZnJxgY
PER139,Be My Guest,Ukraine,Gaitana,2012,15,https://youtube.com/watch?v=sLsTn_li5d8
PER140,La La Love,Cyprus,Ivi Adamou,2012,16,https://youtube.com/watch?v=ex133UhxB64
PER141,Aphrodisiac,Greece,Eleftheria Eleftheriou,2012,17,https://youtube.com/watch?v=NreIi8ma_PY
PER142,Korake Ti Znam,Bosnia and Herzegovina,Maya Sar,2012,18,https://youtube.com/watch?v=81hIbZNoFU8
PER143,Waterline,Republic of Ireland,Jedward,2012,19,https://youtube.com/watch?v=e1cuimKLNpU
PER144,Never Forget,Iceland,Greta Sala³me & Ja³nsi,2012,20,https://youtube.com/watch?v=zRqmHRbJvTo
PER145,This Is The Night,Malta,Kurt Calleja,2012,21,https://youtube.com/watch?v=lUnEZp-qHxs
PER146,Echo (You And I),France,Anggun,2012,22,https://youtube.com/watch?v=0DZ7DbdeOeE
PER147,Should've Known Better,Denmark,Soluna Samay,2012,23,https://youtube.com/watch?v=U5X2r_t-KBk
PER148,Sound Of Our Hearts,Hungary,Compact Disco,2012,24,https://youtube.com/watch?v=sw85G2AlU2c
PER149,Love Will Set You Free,United Kingdom,Engelbert Humperdinck,2012,25,https://youtube.com/watch?v=rXw4Q5jbNqQ
PER150,Stay,Norway,Tooji,2012,26,https://youtube.com/watch?v=-ZaxIY1VAbM
PER151,Love Unlimited,Bulgaria,Sofi Marinova,2012,27,https://youtube.com/watch?v=WAUAETPcFBI
PER152,Unbreakable,Switzerland,Sinplus,2012,28,https://youtube.com/watch?v=lkMSptuVqHQ
PER153,Nebo,Croatia,Nina Badriat,2012,29,https://youtube.com/watch?v=QzdI4yuqwzY
PER154,Nar Jag Blundar,Finland,Pernilla,2012,30,https://youtube.com/watch?v=MRC5NzxmrAA
PER155,Vida Minha,Portugal,Filipa Sousa,2012,31,https://youtube.com/watch?v=fk5i7Hfyy3o
PER156,I'm A Joker,Georgia,Anri Jokhadze,2012,32,https://youtube.com/watch?v=xfpKnMBjdrU
PER157,You And Me,Netherlands,Joan Franka,2012,33,https://youtube.com/watch?v=JCc0Iiu3DiU
PER158,We Are The Heroes,Belarus,Litesound,2012,34,https://youtube.com/watch?v=-JWbOKNaIAo
PER159,Time,Israel,Izabo,2012,35,https://youtube.com/watch?v=-uy4ggnLzKI
PER160,The Social Network Song,San Marino,Valentina Monetta,2012,36,https://youtube.com/watch?v=y7IoR_5HPQ0
PER161,Verjamem,Slovenia,Eva Boto,2012,37,https://youtube.com/watch?v=jEHNRKnrWiU
PER162,Don't Close Your Eyes,Slovakia,Max Jason Mai,2012,38,https://youtube.com/watch?v=OTXz60794lI
PER163,Euro Neuro,Montenegro,Rambo Amadeus,2012,39,https://youtube.com/watch?v=JHnqF5PLP2w
PER164,Beautiful Song,Latvia,Anmary,2012,40,https://youtube.com/watch?v=KAxYfMFE_94
PER165,Would You?,Belgium,Iris,2012,41,https://youtube.com/watch?v=7Z_5s5gnrCM
PER166,Woki Mit Deim Popo,Austria,Trackshittaz,2012,42,https://youtube.com/watch?v=b-qu5hGwero
PER167,Only Teardrops,Denmark,Emmelie de Forest,2013,1,https://youtube.com/watch?v=p3f9v8ebuD4
PER168,Hold Me,Azerbaijan,Farid Mammadov,2013,2,https://youtube.com/watch?v=iN3d_V7KVLE
PER169,Gravity,Ukraine,Zlata Ognevich,2013,3,https://youtube.com/watch?v=BMxpv8naRd8
PER170,I Feed You My Love,Norway,Margaret Berger,2013,4,https://youtube.com/watch?v=gjm-kCOMaPY
PER171,What If,Russia,Dina Garipova,2013,5,https://youtube.com/watch?v=wHNwk3Oez8U
PER172,Alcohol Is Free,Greece,Koza Mostra feat. Agathon Iakovidis,2013,6,https://youtube.com/watch?v=_AfrOZersNk
PER173,L'Essenziale,Italy,Marco Mengoni,2013,7,https://youtube.com/watch?v=S8oaxDV1q6o
PER174,Tomorrow,Malta,Gianluca,2013,8,https://youtube.com/watch?v=VK4TvZeL6c0
PER175,Birds,Netherlands,Anouk,2013,9,https://youtube.com/watch?v=n5iazXvMw5o
PER176,Kedvesem,Hungary,ByeAlex,2013,10,https://youtube.com/watch?v=rOimfHq76xk
PER177,O Mie,Moldova,Aliona Moon,2013,11,https://youtube.com/watch?v=xckgLUv73Jc
PER178,Love Kills,Belgium,Roberto Bellarosa,2013,12,https://youtube.com/watch?v=dCl7OUFNSCA
PER179,It's My Life,Romania,Cezar,2013,13,https://youtube.com/watch?v=VgHWFiavqjA
PER180,You,Sweden,Robin Stjernberg,2013,14,https://youtube.com/watch?v=vtjdTPnCcu0
PER181,Waterfall,Georgia,Nodi Tatishvili & Sophie Gelovani,2013,15,https://youtube.com/watch?v=-n3mwx0vQDE
PER182,Solayoh,Belarus,Alyona Lanskaya,2013,16,https://youtube.com/watch?v=XKewBfUE2Mg
PER183,Ég Á Líf ,Iceland,Eythor Ingi,2013,17,https://youtube.com/watch?v=GzE88IYzXLI
PER184,Lonely Planet,Armenia,Dorians,2013,18,https://youtube.com/watch?v=UGOSZ7Uufno
PER185,Believe In Me,United Kingdom,Bonnie Tyler,2013,19,https://youtube.com/watch?v=-agn-ERgTXA
PER186,Et Uus Saaks Alguse,Estonia,Birgit,2013,20,https://youtube.com/watch?v=Ooo6GvZNLhI
PER187,Glorious,Germany,Cascada,2013,21,https://youtube.com/watch?v=3HYTd7WDCPg
PER188,Something,Lithuania,Andrius Pojavis,2013,22,https://youtube.com/watch?v=0VLhnzk_dAs
PER189,L'enfer Et Moi,France,Amandine Bourgeois,2013,23,https://youtube.com/watch?v=hQwiQj5Dyj8
PER190,Marry Me,Finland,Krista Siegfrids,2013,24,https://youtube.com/watch?v=dlBXOveVh7c
PER191,Contigo Hasta El Final (With You Until The End),Spain,ESDM,2013,25,https://youtube.com/watch?v=5o_DnM_ANF8
PER192,Only Love Survives,Republic of Ireland,Ryan Dolan,2013,26,https://youtube.com/watch?v=4tgtyl_5x5Y
PER193,Ljubav Je Svuda,Serbia,Moje 3,2013,27,https://youtube.com/watch?v=DbAAFijZIxE
PER194,Crisalide (Vola),San Marino,Valentina Monetta,2013,28,https://youtube.com/watch?v=YirZIBi2vnY
PER195,Samo Shampioni,Bulgaria,"Elitsa Todorova, Stoyan Yankulov",2013,29,https://youtube.com/watch?v=Cb46Mhy_mCI
PER196,Igranka,Montenegro,Who See,2013,30,https://youtube.com/watch?v=FR9rtB2ilZU
PER197,You And Me,Switzerland,Takasa,2013,31,https://youtube.com/watch?v=Ba6ovg4yAto
PER198,Mia¾erja,Croatia,Klapa s mora,2013,32,https://youtube.com/watch?v=FYm4sGd-qP0
PER199,Rak Bishvilo,Israel,Moran Mazor,2013,33,https://youtube.com/watch?v=BjbcD72OaI4
PER200,Identitet,Albania,Adrian Lulgjuraj & Bledar Sejko,2013,34,https://youtube.com/watch?v=3u5Se-vJ6MA
PER201,Shine,Austria,Natalia Kelly,2013,35,https://youtube.com/watch?v=gOJHi6JiKpY
PER202,Pred Da Se Razdeni,North Macedonia,Esma & Lozano,2013,36,https://youtube.com/watch?v=Vi1VYsOUCsY
PER203,Here We Go,Latvia,PeR,2013,37,https://youtube.com/watch?v=xze_ilAXwWE
PER204,An Me Thimasai,Cyprus,Despina Olympiou,2013,38,https://youtube.com/watch?v=Ekx8mT-fR80
PER205,Straight Into Love,Slovenia,Hannah,2013,39,https://youtube.com/watch?v=I2_zGcuEuwU
PER206,Rise Like a Phoenix,Austria,Conchita Wurst,2014,1,https://youtube.com/watch?v=QRUIava4WRM
PER207,Calm After The Storm,Netherlands,The Common Linnets,2014,2,https://youtube.com/watch?v=4ggBPAm5XLA
PER208,Undo,Sweden,Sanna Nielsen,2014,3,https://youtube.com/watch?v=5PQJI-3LW-8
PER209,Not Alone,Armenia,Aram MP3,2014,4,https://youtube.com/watch?v=oj0oOV-2fRQ
PER210,Running,Hungary,Andras Kallay-Saunders,2014,5,https://youtube.com/watch?v=T_RxJZ3N9kE
PER211,Tick - Tock,Ukraine,Mariya Yaremchuk,2014,6,https://youtube.com/watch?v=slHboKF9PIQ
PER212,Shine,Russia,Tolmachevy Sisters,2014,7,https://youtube.com/watch?v=BCNN1JAgWqk
PER213,Silent Storm,Norway,Carl Espen,2014,8,https://youtube.com/watch?v=BTMli8U17MM
PER214,Cliche Love Song,Denmark,Basim,2014,9,https://youtube.com/watch?v=jnCTsJkieY4
PER215,Dancing in the rain,Spain,Ruth Lorenzo,2014,10,https://youtube.com/watch?v=-OtuM3Zvkeo
PER216,Something Better,Finland,Softengine,2014,11,https://youtube.com/watch?v=3FDWaFfo1CU
PER217,Miracle,Romania,Paula Seling & OVI,2014,12,https://youtube.com/watch?v=qN2h6__yJGQ
PER218,Hunter Of Stars,Switzerland,Sebalter,2014,13,https://youtube.com/watch?v=DqjoM8ZlyMc
PER219,My Sa‚owianie - We Are Slavic,Poland,Donatan & Cleo,2014,14,https://youtube.com/watch?v=VJ920cN2HmA
PER220,No Prejudice,Iceland,Pollapa¶nk,2014,15,https://youtube.com/watch?v=U2qAvGsiCmc
PER221,Cheesecake,Belarus,Teo,2014,16,https://youtube.com/watch?v=tImGMW-4eHY
PER222,Children of the Universe,United Kingdom,Molly,2014,17,https://youtube.com/watch?v=C6w7tmWvm6M
PER223,Is It Right,Germany,Elaiza,2014,18,https://youtube.com/watch?v=BFuGH2Kp9dI
PER224,Moj Svijet,Montenegro,Sergej a†etkoviat,2014,19,https://youtube.com/watch?v=6FJtzRSKHKg
PER225,Rise Up,Greece,Freaky Fortune feat. RiskyKidd,2014,20,https://youtube.com/watch?v=c9y6A1uXLn8
PER226,La Mia Citta ,Italy,Emma,2014,21,https://youtube.com/watch?v=8W5ZlalAMV8
PER227,Start A Fire,Azerbaijan,Dilara Kazimova,2014,22,https://youtube.com/watch?v=5mPUMPcFQAY
PER228,Coming Home,Malta,Firelight,2014,23,https://youtube.com/watch?v=E_hT08vzHt8
PER229,Maybe (Forse),San Marino,Valentina Monetta,2014,24,https://youtube.com/watch?v=_eZNTBJ-Hyc
PER230,Round and Round,Slovenia,Tinkara Kovaa,2014,25,https://youtube.com/watch?v=CiwM1sY3u0s
PER231,Moustache,France,TWIN TWIN,2014,26,https://youtube.com/watch?v=vjkqciwP034
PER232,Quero Ser Tua,Portugal,Suzy,2014,27,https://youtube.com/watch?v=fhMbHLiEjS4
PER233,Attention,Lithuania,Vilija Mataaia«naita—,2014,28,https://youtube.com/watch?v=qOGEtw7tmik
PER234,Heartbeat,Republic of Ireland,Can-Linn feat. Kasey Smith,2014,29,https://youtube.com/watch?v=J9zEybTMeEs
PER235,Amazing,Estonia,Tanja,2014,30,https://youtube.com/watch?v=wi9Q1ufjooE
PER236,To the Sky,North Macedonia,Tijana,2014,31,https://youtube.com/watch?v=2BqLPMF8Xdc
PER237,Cake To Bake,Latvia,Aarzemnieki,2014,32,https://youtube.com/watch?v=h0D1Ya3NBQs
PER238,Mother,Belgium,Axel Hirsoux,2014,33,https://youtube.com/watch?v=wr3m4ghnq6w
PER239,One Night's Anger,Albania,Hersi,2014,34,https://youtube.com/watch?v=Ahu_K_Jh2vc
PER240,Same Heart,Israel,Mei Finegold,2014,35,https://youtube.com/watch?v=acOZVEN5XjE
PER241,Three Minutes To Earth,Georgia,The Shin and Mariko,2014,36,https://youtube.com/watch?v=0v69AvCQJQY
PER242,Wild Soul,Moldova,Cristina Scarlat,2014,37,https://youtube.com/watch?v=l9ZfGttI4P0
PER243,Heroes,Sweden,Mayns Zelmerla¶w,2015,1,https://youtube.com/watch?v=5sGOwFVUU0I
PER244,A Million Voices,Russia,Polina Gagarina,2015,2,https://youtube.com/watch?v=Q2gbKglCL5s
PER245,Grande Amore,Italy,Il Volo,2015,3,https://youtube.com/watch?v=1TOMqZV2jA8
PER246,Rhythm Inside,Belgium,Loa¯c Nottet,2015,4,https://youtube.com/watch?v=IjH-HYAFICg
PER247,Tonight Again,Australia,Guy Sebastian,2015,5,https://youtube.com/watch?v=H0EhhZWXTng
PER248,Love Injected,Latvia,Aminata Savadogo,2015,6,https://youtube.com/watch?v=PgmZaf1Sb_4
PER249,Goodbye to Yesterday,Estonia,Elina Born & Stig Rasta,2015,7,https://youtube.com/watch?v=gSWbx3CvVUk
PER250,A Monster Like Me,Norway,Ma¸rland & Debrah Scarlett,2015,8,https://youtube.com/watch?v=oVKJK9yb5xY
PER251,Golden Boy,Israel,Nadav Guedj,2015,9,https://youtube.com/watch?v=5bi1lK91bas
